,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo:,Idade:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
1,Diego Silva,01/12/14 10:13 AM,357,"""Feminino""",32,"""3""","""3""","""1""","""4 ou +""","""4 ou +""","""4 ou +""","""4 ou +""","""4 ou +""","""4 ou +""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
2,Anna Carolina Alves,12/12/14 10:45 AM,36,"""Feminino""",65,"""1""","""0""","""2""","""1""","""0""","""2""","""1""","""2""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
3,Anna Carolina Alves,12/12/14 11:00 AM,37,"""Feminino""",40,"""2""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
4,Anna Carolina Alves,12/12/14 11:24 AM,38,"""Feminino""",38,"""4 ou +""","""1""","""2""","""1""","""0""","""2""","""1""","""1""","""0""","""Superior completo (Superior completo)"""
5,Anna Carolina Alves,12/12/14 11:47 AM,39,"""Feminino""",32,"""3""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
6,Anna Carolina Alves,12/12/14 12:03 PM,40,"""Feminino""",25,"""1""","""1""","""1""","""1""","""0""","""1""","""2""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
7,Anna Carolina Alves,12/12/14 12:18 PM,41,"""Feminino""",24,"""3""","""1""","""1""","""0""","""0""","""3""","""2""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
8,Anna Carolina Alves,12/12/14 12:34 PM,42,"""Feminino""",66,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
9,Anna Carolina Alves,12/12/14 12:51 PM,43,"""Feminino""",29,"""2""","""1""","""2""","""1""","""0""","""1""","""1""","""2""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
10,Anna Carolina Alves,12/12/14 01:16 PM,44,"""Feminino""",26,"""1""","""0""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
11,Anna Carolina Alves,12/12/14 01:44 PM,45,"""Feminino""",51,"""1""","""1""","""1""","""0""","""0""","""0""","""0""","""1""","""0""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
12,Caio Morcelli,15/12/14 01:18 PM,34,"""Masculino""",79,"""1""","""1""","""1""","""1""","""0""","""1""","""1""","""3""","""2""","""Colegial completo / Superior incompleto (Médio completo)"""
13,Caio Morcelli,15/12/14 02:01 PM,35,"""Masculino""",18,"""2""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
14,Caio Morcelli,15/12/14 02:53 PM,36,"""Masculino""",43,"""3""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
15,Caio Morcelli,15/12/14 03:12 PM,37,"""Feminino""",31,"""2""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
16,Caio Morcelli,15/12/14 03:33 PM,38,"""Feminino""",35,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
17,Anna Carolina Alves,16/12/14 08:01 AM,46,"""Feminino""",26,"""2""","""0""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
18,Anna Carolina Alves,16/12/14 08:29 AM,47,"""Feminino""",58,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
19,Anna Carolina Alves,16/12/14 08:47 AM,48,"""Feminino""",66,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
20,Anna Carolina Alves,16/12/14 09:11 AM,49,"""Feminino""",55,"""1""","""0""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
21,Anna Carolina Alves,16/12/14 09:28 AM,50,"""Feminino""",21,"""1""","""1""","""1""","""0""","""0""","""0""","""0""","""0""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
22,Anna Carolina Alves,16/12/14 09:43 AM,51,"""Feminino""",29,"""2""","""0""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
23,Anna Carolina Alves,16/12/14 10:00 AM,52,"""Feminino""",38,"""2""","""0""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
24,Caio Morcelli,16/12/14 02:43 PM,39,"""Feminino""",50,"""2""","""2""","""2""","""2""","""0""","""2""","""2""","""1""","""1""","""Superior completo (Superior completo)"""
25,Caio Morcelli,16/12/14 03:18 PM,40,"""Feminino""",41,"""4 ou +""","""0""","""1""","""0""","""0""","""1""","""1""","""1""","""1""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
26,Caio Morcelli,16/12/14 03:40 PM,41,"""Feminino""",25,"""2""","""1""","""2""","""0""","""0""","""2""","""2""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
27,Caio Morcelli,16/12/14 03:57 PM,42,"""Masculino""",49,"""3""","""1""","""2""","""1""","""0""","""2""","""1""","""2""","""0""","""Superior completo (Superior completo)"""
28,Caio Morcelli,16/12/14 04:26 PM,43,"""Masculino""",529,"""2""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Superior completo (Superior completo)"""
29,Caio Morcelli,16/12/14 04:51 PM,44,"""Masculino""",87,"""1""","""3""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
30,Caio Morcelli,16/12/14 05:44 PM,45,"""Feminino""",53,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
