,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo do responsável:,Idade do responsável:,Sexo da criança:,Idade da criança:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
1,Diego Silva,10/12/14 09:46 AM,12,Masculino,12,Masculino,85,3,3,4 ou +,2,4 ou +,2,3,3,4 ou +,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
2,Jacqueline Maximiano Conceicao,18/12/14 11:50 AM,1,Feminino,35,Masculino,1,1,1,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
3,Anna Carolina Alves,22/12/14 12:31 PM,01,Feminino,46,Masculino,5,2,1,2,1,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
4,Anna Carolina Alves,22/12/14 12:45 PM,02,Feminino,45,Feminino,4,2,1,1,2,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
5,Anna Carolina Alves,22/12/14 12:57 PM,03,Feminino,33,Masculino,8,2,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
6,Anna Carolina Alves,22/12/14 01:12 PM,04,Feminino,34,Feminino,5,2,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
7,Anna Carolina Alves,22/12/14 01:25 PM,05,Feminino,21,Masculino,2,1,1,1,1,0,0,1,1,0,Colegial completo / Superior incompleto (Médio completo)
8,Anna Carolina Alves,22/12/14 01:43 PM,06,Masculino,38,Feminino,9,1,0,1,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
9,Anna Carolina Alves,22/12/14 01:56 PM,07,Feminino,37,Feminino,11,2,2,1,0,0,1,1,0,0,Superior completo (Superior completo)
10,Jacqueline Maximiano Conceicao,06/01/15 09:02 AM,2,Feminino,353,Masculino,3,1,1,1,0,0,0,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
11,Jacqueline Maximiano Conceicao,06/01/15 09:24 AM,3,Feminino,25,Feminino,4,2,0,1,0,0,1,1,1,1,Colegial completo / Superior incompleto (Médio completo)
12,Jacqueline Maximiano Conceicao,06/01/15 10:02 AM,4,Feminino,28,Masculino,2,1,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
13,Jacqueline Maximiano Conceicao,06/01/15 10:58 AM,5,Feminino,30,Masculino,6,1,1,1,0,0,1,1,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
14,Jacqueline Maximiano Conceicao,06/01/15 11:08 AM,6,Feminino,28,Masculino,1,1,2,1,1,0,1,1,1,1,Ginasial completo / Colegial incompleto (Fundamental completo) 
15,Angelica Manfroi,07/01/15 09:26 AM,001,Feminino,33,Feminino,7,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
16,Angelica Manfroi,07/01/15 09:48 AM,002,Masculino,26,Feminino,4,3,2,2,2,0,2,2,2,2,Superior completo (Superior completo)
17,Angelica Manfroi,07/01/15 10:11 AM,003,Feminino,30,Feminino,0,1,1,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
18,Angelica Manfroi,07/01/15 10:30 AM,004,Feminino,27,Masculino,1,4 ou +,1,1,1,0,1,2,1,0,Colegial completo / Superior incompleto (Médio completo)
19,Angelica Manfroi,07/01/15 11:07 AM,005,Feminino,36,Masculino,8,1,1,2,1,0,1,0,1,1,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
