,Entrevistador:,Data de Preenchimento:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
1,Rodrigo Corrales,27/09/14 09:27 AM,"""2""","""2""","""2""","""0""","""0""","""1""","""2""","""1""","""1""","""Superior completo (Superior completo)"""
2,Gustavo Gusso,09/10/14 05:48 PM,"""0""","""1""","""1""","""2""","""1""","""2""","""1""","""1""","""2""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
3,Gustavo Gusso,19/10/14 09:14 AM,"""2""","""2""","""3""","""1""","""0""","""2""","""0""","""2""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
4,Gustavo Gusso,19/10/14 05:15 PM,"""2""","""3""","""1""","""1""","""4 ou +""","""1""","""2""","""2""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
5,Gustavo Gusso,19/10/14 05:16 PM,"""2""","""1""","""3""","""0""","""2""","""2""","""0""","""2""","""2""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
6,Gustavo Gusso,19/10/14 05:16 PM,"""1""","""2""","""1""","""0""","""2""","""2""","""0""","""3""","""2""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
7,Gustavo Gusso,19/10/14 05:17 PM,"""2""","""0""","""1""","""3""","""0""","""3""","""1""","""2""","""2""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
8,Gustavo Gusso,19/10/14 05:17 PM,"""2""","""1""","""2""","""1""","""2""","""1""","""1""","""1""","""3""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
9,Anna Carolina Alves,20/10/14 10:33 AM,"""1""","""0""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
10,Anna Carolina Alves,20/10/14 11:01 AM,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
11,Anna Carolina Alves,20/10/14 11:25 AM,"""2""","""2""","""1""","""0""","""0""","""1""","""1""","""1""","""1""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
12,Anna Carolina Alves,20/10/14 11:56 AM,"""3""","""1""","""2""","""1""","""0""","""1""","""1""","""1""","""1""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
13,Anna Carolina Alves,20/10/14 12:31 PM,"""3""","""1""","""1""","""1""","""0""","""1""","""2""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
14,Anna Carolina Alves,20/10/14 01:09 PM,"""1""","""0""","""1""","""0""","""0""","""1""","""0""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
15,Anna Carolina Alves,20/10/14 01:40 PM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
16,Anna Carolina Alves,20/10/14 01:54 PM,"""2""","""1""","""2""","""1""","""0""","""1""","""0""","""1""","""1""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
17,Anna Carolina Alves,20/10/14 02:34 PM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
18,Anna Carolina Alves,20/10/14 02:54 PM,"""1""","""1""","""2""","""1""","""0""","""1""","""0""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
19,Angelica Manfroi,22/10/14 02:11 PM,"""1""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
20,Angelica Manfroi,22/10/14 02:46 PM,"""1""","""0""","""1""","""0""","""0""","""0""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
21,Angelica Manfroi,22/10/14 03:16 PM,"""3""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
22,Angelica Manfroi,22/10/14 03:49 PM,"""2""","""2""","""1""","""1""","""0""","""1""","""0""","""1""","""1""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
23,Angelica Manfroi,22/10/14 04:39 PM,"""1""","""0""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
24,Caio Morcelli,23/10/14 09:20 AM,"""1""","""1""","""2""","""0""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
25,Caio Morcelli,23/10/14 10:13 AM,"""1""","""0""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
26,Caio Morcelli,23/10/14 10:49 AM,"""3""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
27,Caio Morcelli,23/10/14 11:19 AM,"""1""","""1""","""1""","""0""","""0""","""0""","""0""","""2""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
28,Caio Morcelli,24/10/14 02:01 PM,"""1""","""0""","""1""","""0""","""1""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
29,Caio Morcelli,24/10/14 03:01 PM,"""2""","""1""","""1""","""0""","""0""","""1""","""2""","""1""","""1""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
30,Caio Morcelli,24/10/14 03:25 PM,"""1""","""0""","""1""","""0""","""0""","""0""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
31,Caio Morcelli,24/10/14 04:33 PM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
32,Caio Morcelli,24/10/14 04:56 PM,"""1""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
33,Caio Morcelli,24/10/14 05:18 PM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
34,Angelica Manfroi,28/10/14 02:17 PM,"""3""","""2""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) """
35,Angelica Manfroi,28/10/14 03:39 PM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
36,Angelica Manfroi,28/10/14 04:12 PM,"""1""","""0""","""1""","""0""","""0""","""0""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
37,Angelica Manfroi,29/10/14 10:12 AM,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
38,Angelica Manfroi,29/10/14 11:09 AM,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""0""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
